folder,image,seed,auto_count
K0_incid,1,1,256
K0_incid,1,2,127
K0_incid,1,3,40
K0_incid,1,4,22
K0_incid,1,5,22
K0_incid,1,6,20
K0_incid,1,7,20
K0_incid,1,8,20
K0_incid,1,9,20
K0_incid,1,10,20
K0_incid,1,11,20
K0_incid,1,12,20
K0_incid,1,13,20
K0_incid,1,14,20
K0_incid,1,15,20
K0_incid,1,16,20
K0_incid,1,17,20
K0_incid,1,18,20
K0_incid,1,19,20
K0_incid,1,20,20
K0_incid,1,21,20
K0_incid,1,22,20
K0_incid,1,23,20
K0_incid,1,24,20
K0_incid,1,25,20
K0_incid,1,26,20
K0_incid,1,27,20
K0_incid,1,28,20
K0_incid,1,29,20
K0_incid,1,30,20
K0_incid,1,31,20
K0_incid,1,32,20
K0_incid,1,33,20
K0_incid,1,34,20
K0_incid,1,35,20
K0_incid,1,36,19
K0_incid,1,37,19
K0_incid,1,38,19
K0_incid,1,39,19
K0_incid,1,40,19
K0_incid,1,41,19
K0_incid,1,42,19
K0_incid,1,43,19
K0_incid,1,44,19
K0_incid,1,45,19
K0_incid,1,46,19
K0_incid,1,47,19
K0_incid,1,48,19
K0_incid,1,49,19
K0_incid,1,50,19
K0_incid,1,51,17
K0_incid,1,52,17
K0_incid,1,53,17
K0_incid,1,54,17
K0_incid,1,55,17
K0_incid,1,56,17
K0_incid,1,57,17
K0_incid,1,58,17
K0_incid,1,59,17
K0_incid,1,60,17
K0_incid,2,1,255
K0_incid,2,2,136
K0_incid,2,3,39
K0_incid,2,4,23
K0_incid,2,5,22
K0_incid,2,6,20
K0_incid,2,7,19
K0_incid,2,8,19
K0_incid,2,9,19
K0_incid,2,10,19
K0_incid,2,11,19
K0_incid,2,12,18
K0_incid,2,13,17
K0_incid,2,14,17
K0_incid,2,15,17
K0_incid,2,16,17
K0_incid,2,17,17
K0_incid,2,18,17
K0_incid,2,19,17
K0_incid,2,20,17
K0_incid,2,21,17
K0_incid,2,22,17
K0_incid,2,23,17
K0_incid,2,24,17
K0_incid,2,25,17
K0_incid,2,26,17
K0_incid,2,27,17
K0_incid,2,28,17
K0_incid,2,29,17
K0_incid,2,30,17
K0_incid,2,31,17
K0_incid,2,32,17
K0_incid,2,33,17
K0_incid,2,34,17
K0_incid,2,35,16
K0_incid,2,36,16
K0_incid,2,37,16
K0_incid,2,38,15
K0_incid,2,39,15
K0_incid,2,40,15
K0_incid,2,41,15
K0_incid,2,42,15
K0_incid,2,43,15
K0_incid,2,44,15
K0_incid,2,45,15
K0_incid,2,46,15
K0_incid,2,47,15
K0_incid,2,48,15
K0_incid,2,49,15
K0_incid,2,50,15
K0_incid,2,51,15
K0_incid,2,52,15
K0_incid,2,53,15
K0_incid,2,54,15
K0_incid,2,55,15
K0_incid,2,56,15
K0_incid,2,57,15
K0_incid,2,58,15
K0_incid,2,59,15
K0_incid,2,60,15
K0_incid,3,1,235
K0_incid,3,2,175
K0_incid,3,3,58
K0_incid,3,4,35
K0_incid,3,5,26
K0_incid,3,6,26
K0_incid,3,7,24
K0_incid,3,8,23
K0_incid,3,9,22
K0_incid,3,10,21
K0_incid,3,11,21
K0_incid,3,12,21
K0_incid,3,13,21
K0_incid,3,14,21
K0_incid,3,15,21
K0_incid,3,16,21
K0_incid,3,17,20
K0_incid,3,18,20
K0_incid,3,19,20
K0_incid,3,20,20
K0_incid,3,21,20
K0_incid,3,22,20
K0_incid,3,23,20
K0_incid,3,24,20
K0_incid,3,25,20
K0_incid,3,26,20
K0_incid,3,27,20
K0_incid,3,28,20
K0_incid,3,29,20
K0_incid,3,30,20
K0_incid,3,31,19
K0_incid,3,32,19
K0_incid,3,33,19
K0_incid,3,34,19
K0_incid,3,35,19
K0_incid,3,36,19
K0_incid,3,37,19
K0_incid,3,38,19
K0_incid,3,39,19
K0_incid,3,40,19
K0_incid,3,41,19
K0_incid,3,42,19
K0_incid,3,43,19
K0_incid,3,44,19
K0_incid,3,45,19
K0_incid,3,46,19
K0_incid,3,47,19
K0_incid,3,48,19
K0_incid,3,49,19
K0_incid,3,50,19
K0_incid,3,51,19
K0_incid,3,52,19
K0_incid,3,53,19
K0_incid,3,54,19
K0_incid,3,55,19
K0_incid,3,56,19
K0_incid,3,57,19
K0_incid,3,58,19
K0_incid,3,59,18
K0_incid,3,60,18
K0_incid,4,1,224
K0_incid,4,2,120
K0_incid,4,3,31
K0_incid,4,4,18
K0_incid,4,5,16
K0_incid,4,6,15
K0_incid,4,7,15
K0_incid,4,8,15
K0_incid,4,9,15
K0_incid,4,10,15
K0_incid,4,11,15
K0_incid,4,12,15
K0_incid,4,13,15
K0_incid,4,14,15
K0_incid,4,15,15
K0_incid,4,16,15
K0_incid,4,17,15
K0_incid,4,18,15
K0_incid,4,19,15
K0_incid,4,20,15
K0_incid,4,21,15
K0_incid,4,22,15
K0_incid,4,23,15
K0_incid,4,24,15
K0_incid,4,25,15
K0_incid,4,26,15
K0_incid,4,27,15
K0_incid,4,28,15
K0_incid,4,29,15
K0_incid,4,30,15
K0_incid,4,31,15
K0_incid,4,32,15
K0_incid,4,33,15
K0_incid,4,34,15
K0_incid,4,35,15
K0_incid,4,36,15
K0_incid,4,37,15
K0_incid,4,38,15
K0_incid,4,39,15
K0_incid,4,40,15
K0_incid,4,41,15
K0_incid,4,42,15
K0_incid,4,43,15
K0_incid,4,44,15
K0_incid,4,45,15
K0_incid,4,46,15
K0_incid,4,47,15
K0_incid,4,48,15
K0_incid,4,49,15
K0_incid,4,50,15
K0_incid,4,51,15
K0_incid,4,52,15
K0_incid,4,53,15
K0_incid,4,54,15
K0_incid,4,55,15
K0_incid,4,56,15
K0_incid,4,57,15
K0_incid,4,58,15
K0_incid,4,59,15
K0_incid,4,60,15
K0_incid,5,1,278
K0_incid,5,2,202
K0_incid,5,3,63
K0_incid,5,4,36
K0_incid,5,5,28
K0_incid,5,6,27
K0_incid,5,7,26
K0_incid,5,8,24
K0_incid,5,9,24
K0_incid,5,10,24
K0_incid,5,11,24
K0_incid,5,12,23
K0_incid,5,13,24
K0_incid,5,14,23
K0_incid,5,15,24
K0_incid,5,16,23
K0_incid,5,17,23
K0_incid,5,18,23
K0_incid,5,19,23
K0_incid,5,20,23
K0_incid,5,21,23
K0_incid,5,22,23
K0_incid,5,23,23
K0_incid,5,24,23
K0_incid,5,25,23
K0_incid,5,26,23
K0_incid,5,27,23
K0_incid,5,28,23
K0_incid,5,29,23
K0_incid,5,30,23
K0_incid,5,31,23
K0_incid,5,32,23
K0_incid,5,33,23
K0_incid,5,34,23
K0_incid,5,35,23
K0_incid,5,36,23
K0_incid,5,37,23
K0_incid,5,38,23
K0_incid,5,39,23
K0_incid,5,40,23
K0_incid,5,41,23
K0_incid,5,42,23
K0_incid,5,43,23
K0_incid,5,44,23
K0_incid,5,45,23
K0_incid,5,46,23
K0_incid,5,47,23
K0_incid,5,48,23
K0_incid,5,49,23
K0_incid,5,50,23
K0_incid,5,51,23
K0_incid,5,52,23
K0_incid,5,53,23
K0_incid,5,54,23
K0_incid,5,55,23
K0_incid,5,56,23
K0_incid,5,57,23
K0_incid,5,58,23
K0_incid,5,59,23
K0_incid,5,60,23
K0_incid,6,1,232
K0_incid,6,2,121
K0_incid,6,3,34
K0_incid,6,4,20
K0_incid,6,5,19
K0_incid,6,6,19
K0_incid,6,7,18
K0_incid,6,8,18
K0_incid,6,9,18
K0_incid,6,10,18
K0_incid,6,11,18
K0_incid,6,12,18
K0_incid,6,13,18
K0_incid,6,14,18
K0_incid,6,15,18
K0_incid,6,16,18
K0_incid,6,17,18
K0_incid,6,18,18
K0_incid,6,19,18
K0_incid,6,20,18
K0_incid,6,21,18
K0_incid,6,22,18
K0_incid,6,23,18
K0_incid,6,24,18
K0_incid,6,25,18
K0_incid,6,26,18
K0_incid,6,27,18
K0_incid,6,28,18
K0_incid,6,29,18
K0_incid,6,30,18
K0_incid,6,31,18
K0_incid,6,32,18
K0_incid,6,33,18
K0_incid,6,34,18
K0_incid,6,35,18
K0_incid,6,36,18
K0_incid,6,37,18
K0_incid,6,38,18
K0_incid,6,39,18
K0_incid,6,40,18
K0_incid,6,41,18
K0_incid,6,42,18
K0_incid,6,43,18
K0_incid,6,44,18
K0_incid,6,45,18
K0_incid,6,46,18
K0_incid,6,47,18
K0_incid,6,48,18
K0_incid,6,49,18
K0_incid,6,50,18
K0_incid,6,51,18
K0_incid,6,52,18
K0_incid,6,53,18
K0_incid,6,54,18
K0_incid,6,55,18
K0_incid,6,56,18
K0_incid,6,57,18
K0_incid,6,58,18
K0_incid,6,59,18
K0_incid,6,60,18
K0_incid,7,1,258
K0_incid,7,2,128
K0_incid,7,3,36
K0_incid,7,4,21
K0_incid,7,5,19
K0_incid,7,6,19
K0_incid,7,7,19
K0_incid,7,8,19
K0_incid,7,9,19
K0_incid,7,10,19
K0_incid,7,11,19
K0_incid,7,12,19
K0_incid,7,13,19
K0_incid,7,14,19
K0_incid,7,15,19
K0_incid,7,16,19
K0_incid,7,17,19
K0_incid,7,18,19
K0_incid,7,19,19
K0_incid,7,20,19
K0_incid,7,21,19
K0_incid,7,22,19
K0_incid,7,23,19
K0_incid,7,24,19
K0_incid,7,25,19
K0_incid,7,26,19
K0_incid,7,27,19
K0_incid,7,28,19
K0_incid,7,29,19
K0_incid,7,30,19
K0_incid,7,31,19
K0_incid,7,32,19
K0_incid,7,33,19
K0_incid,7,34,19
K0_incid,7,35,19
K0_incid,7,36,19
K0_incid,7,37,19
K0_incid,7,38,19
K0_incid,7,39,19
K0_incid,7,40,19
K0_incid,7,41,19
K0_incid,7,42,19
K0_incid,7,43,19
K0_incid,7,44,19
K0_incid,7,45,19
K0_incid,7,46,19
K0_incid,7,47,19
K0_incid,7,48,19
K0_incid,7,49,19
K0_incid,7,50,19
K0_incid,7,51,19
K0_incid,7,52,19
K0_incid,7,53,19
K0_incid,7,54,19
K0_incid,7,55,19
K0_incid,7,56,19
K0_incid,7,57,19
K0_incid,7,58,19
K0_incid,7,59,19
K0_incid,7,60,19
K0_incid,8,1,255
K0_incid,8,2,138
K0_incid,8,3,32
K0_incid,8,4,21
K0_incid,8,5,18
K0_incid,8,6,18
K0_incid,8,7,18
K0_incid,8,8,18
K0_incid,8,9,18
K0_incid,8,10,18
K0_incid,8,11,18
K0_incid,8,12,18
K0_incid,8,13,18
K0_incid,8,14,18
K0_incid,8,15,18
K0_incid,8,16,18
K0_incid,8,17,18
K0_incid,8,18,18
K0_incid,8,19,18
K0_incid,8,20,18
K0_incid,8,21,18
K0_incid,8,22,18
K0_incid,8,23,18
K0_incid,8,24,18
K0_incid,8,25,18
K0_incid,8,26,18
K0_incid,8,27,18
K0_incid,8,28,18
K0_incid,8,29,18
K0_incid,8,30,18
K0_incid,8,31,18
K0_incid,8,32,18
K0_incid,8,33,18
K0_incid,8,34,18
K0_incid,8,35,18
K0_incid,8,36,18
K0_incid,8,37,18
K0_incid,8,38,18
K0_incid,8,39,18
K0_incid,8,40,18
