folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,3,10,8,19,16
K0_incid,3,10,10,17,14
K0_incid,3,10,12,18,15
K0_incid,3,10,14,15,12
K0_incid,3,10,16,15,12
K0_incid,3,10,18,16,13
K0_incid,3,10,20,16,13
K0_incid,3,15,2,20,18
K0_incid,3,15,4,20,18
K0_incid,3,15,6,18,16
K0_incid,3,15,8,15,13
K0_incid,3,15,10,16,14
K0_incid,3,15,12,16,14
K0_incid,3,15,14,15,13
K0_incid,3,15,16,15,13
K0_incid,3,15,18,15,13
K0_incid,3,15,20,16,14
K0_incid,3,20,2,17,15
K0_incid,3,20,4,17,15
K0_incid,3,20,6,16,14
K0_incid,3,20,8,17,15
K0_incid,3,20,10,16,14
K0_incid,3,20,12,16,14
K0_incid,3,20,14,17,15
K0_incid,3,20,16,15,13
K0_incid,3,20,18,13,11
K0_incid,3,20,20,13,11
K0_incid,3,25,2,18,17
K0_incid,3,25,4,14,13
K0_incid,3,25,6,14,13
K0_incid,3,25,8,14,13
K0_incid,3,25,10,15,14
K0_incid,3,25,12,13,12
K0_incid,3,25,14,13,12
K0_incid,3,25,16,13,12
K0_incid,3,25,18,13,12
K0_incid,3,25,20,13,12
K0_incid,3,30,2,15,14
K0_incid,3,30,4,15,14
K0_incid,3,30,6,15,14
K0_incid,3,30,8,14,13
K0_incid,3,30,10,14,13
K0_incid,3,30,12,14,13
K0_incid,3,30,14,14,13
K0_incid,3,30,16,14,13
K0_incid,3,30,18,14,13
K0_incid,3,30,20,14,13
K0_incid,3,35,2,13,13
K0_incid,3,35,4,13,13
K0_incid,3,35,6,13,13
K0_incid,3,35,8,13,13
K0_incid,3,35,10,13,13
K0_incid,3,35,12,13,13
K0_incid,3,35,14,13,13
K0_incid,3,35,16,13,13
K0_incid,3,35,18,13,13
K0_incid,3,35,20,13,13
K0_incid,3,40,2,0,0
K0_incid,3,40,4,0,0
K0_incid,3,40,6,0,0
K0_incid,3,40,8,0,0
K0_incid,3,40,10,0,0
K0_incid,3,40,12,0,0
K0_incid,3,40,14,0,0
K0_incid,3,40,16,0,0
K0_incid,3,40,18,0,0
K0_incid,3,40,20,0,0
K0_incid,4,5,2,23,15
K0_incid,4,5,4,20,13
K0_incid,4,5,6,22,15
K0_incid,4,5,8,19,13
K0_incid,4,5,10,22,15
K0_incid,4,5,12,20,13
K0_incid,4,5,14,19,13
K0_incid,4,5,16,18,12
K0_incid,4,5,18,18,12
K0_incid,4,5,20,18,12
K0_incid,4,10,2,24,15
K0_incid,4,10,4,21,15
K0_incid,4,10,6,24,15
K0_incid,4,10,8,21,15
K0_incid,4,10,10,19,13
K0_incid,4,10,12,21,15
K0_incid,4,10,14,18,12
K0_incid,4,10,16,18,12
K0_incid,4,10,18,19,13
K0_incid,4,10,20,19,13
K0_incid,4,15,2,21,15
K0_incid,4,15,4,21,15
K0_incid,4,15,6,19,13
K0_incid,4,15,8,18,13
K0_incid,4,15,10,20,15
