folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K30_incid,9,20,14,21,15
K30_incid,9,20,16,21,15
K30_incid,9,20,18,21,14
K30_incid,9,20,20,18,12
K30_incid,9,25,2,24,18
K30_incid,9,25,4,20,15
K30_incid,9,25,6,24,18
K30_incid,9,25,8,19,15
K30_incid,9,25,10,19,15
K30_incid,9,25,12,20,15
K30_incid,9,25,14,17,13
K30_incid,9,25,16,16,12
K30_incid,9,25,18,16,12
K30_incid,9,25,20,16,12
K30_incid,9,30,2,21,16
K30_incid,9,30,4,21,15
K30_incid,9,30,6,20,15
K30_incid,9,30,8,19,14
K30_incid,9,30,10,16,13
K30_incid,9,30,12,17,13
K30_incid,9,30,14,16,13
K30_incid,9,30,16,16,13
K30_incid,9,30,18,16,13
K30_incid,9,30,20,16,13
K30_incid,9,35,2,19,15
K30_incid,9,35,4,18,15
K30_incid,9,35,6,18,15
K30_incid,9,35,8,18,15
K30_incid,9,35,10,18,15
K30_incid,9,35,12,18,15
K30_incid,9,35,14,18,15
K30_incid,9,35,16,18,15
K30_incid,9,35,18,18,15
K30_incid,9,35,20,18,15
K30_incid,9,40,2,4,1
K30_incid,9,40,4,3,1
K30_incid,9,40,6,3,1
K30_incid,9,40,8,3,1
K30_incid,9,40,10,3,1
K30_incid,9,40,12,3,1
K30_incid,9,40,14,3,1
K30_incid,9,40,16,3,1
K30_incid,9,40,18,3,1
K30_incid,9,40,20,3,1
K30_incid,10,5,2,26,18
K30_incid,10,5,4,24,17
K30_incid,10,5,6,23,17
K30_incid,10,5,8,23,17
K30_incid,10,5,10,23,17
K30_incid,10,5,12,21,16
K30_incid,10,5,14,23,17
K30_incid,10,5,16,22,17
K30_incid,10,5,18,21,16
K30_incid,10,5,20,21,16
K30_incid,10,10,2,28,23
K30_incid,10,10,4,23,19
K30_incid,10,10,6,27,23
K30_incid,10,10,8,21,17
K30_incid,10,10,10,24,20
K30_incid,10,10,12,23,19
K30_incid,10,10,14,22,17
K30_incid,10,10,16,20,16
K30_incid,10,10,18,20,16
K30_incid,10,10,20,20,16
K30_incid,10,15,2,23,18
K30_incid,10,15,4,22,18
K30_incid,10,15,6,23,18
K30_incid,10,15,8,22,18
K30_incid,10,15,10,21,17
K30_incid,10,15,12,21,17
K30_incid,10,15,14,20,16
K30_incid,10,15,16,21,17
K30_incid,10,15,18,22,17
K30_incid,10,15,20,21,17
K30_incid,10,20,2,27,23
K30_incid,10,20,4,25,21
K30_incid,10,20,6,20,17
K30_incid,10,20,8,20,17
K30_incid,10,20,10,23,20
K30_incid,10,20,12,20,17
K30_incid,10,20,14,20,17
K30_incid,10,20,16,20,17
K30_incid,10,20,18,19,16
K30_incid,10,20,20,22,19
K30_incid,10,25,2,20,18
K30_incid,10,25,4,19,17
K30_incid,10,25,6,18,17
K30_incid,10,25,8,19,17
K30_incid,10,25,10,18,17
K30_incid,10,25,12,18,17
K30_incid,10,25,14,18,17
K30_incid,10,25,16,17,16
K30_incid,10,25,18,17,16
K30_incid,10,25,20,17,16
K30_incid,10,30,2,22,21
K30_incid,10,30,4,18,17
K30_incid,10,30,6,18,17
K30_incid,10,30,8,18,17
K30_incid,10,30,10,21,20
K30_incid,10,30,12,17,16
K30_incid,10,30,14,17,16
K30_incid,10,30,16,17,16
K30_incid,10,30,18,17,16
K30_incid,10,30,20,17,16
K30_incid,10,35,2,19,18
K30_incid,10,35,4,19,18
K30_incid,10,35,6,18,17
K30_incid,10,35,8,18,17
K30_incid,10,35,10,18,17
K30_incid,10,35,12,18,17
K30_incid,10,35,14,18,17
K30_incid,10,35,16,18,17
K30_incid,10,35,18,18,17
K30_incid,10,35,20,18,17
K30_incid,10,40,2,6,6
K30_incid,10,40,4,6,6
K30_incid,10,40,6,6,6
K30_incid,10,40,8,6,6
K30_incid,10,40,10,6,6
K30_incid,10,40,12,6,6
K30_incid,10,40,14,6,6
K30_incid,10,40,16,6,6
K30_incid,10,40,18,6,6
K30_incid,10,40,20,6,6
K30_incid,11,5,2,39,22
K30_incid,11,5,4,34,20
K30_incid,11,5,6,28,18
K30_incid,11,5,8,27,18
K30_incid,11,5,10,24,17
K30_incid,11,5,12,24,14
K30_incid,11,5,14,25,16
K30_incid,11,5,16,25,18
K30_incid,11,5,18,22,14
K30_incid,11,5,20,21,14
K30_incid,11,10,2,36,23
K30_incid,11,10,4,29,19
K30_incid,11,10,6,26,18
K30_incid,11,10,8,24,16
K30_incid,11,10,10,29,19
K30_incid,11,10,12,26,18
K30_incid,11,10,14,24,17
K30_incid,11,10,16,21,14
K30_incid,11,10,18,22,14
K30_incid,11,10,20,25,15
K30_incid,11,15,2,39,22
K30_incid,11,15,4,30,20
K30_incid,11,15,6,28,19
K30_incid,11,15,8,29,18
K30_incid,11,15,10,24,17
K30_incid,11,15,12,22,14
K30_incid,11,15,14,24,14
K30_incid,11,15,16,25,16
K30_incid,11,15,18,25,16
K30_incid,11,15,20,24,16
K30_incid,11,20,2,36,23
K30_incid,11,20,4,30,21
K30_incid,11,20,6,30,21
K30_incid,11,20,8,28,20
K30_incid,11,20,10,29,19
K30_incid,11,20,12,29,20
K30_incid,11,20,14,28,20
K30_incid,11,20,16,27,20
K30_incid,11,20,18,27,20
K30_incid,11,20,20,20,14
K30_incid,11,25,2,31,19
K30_incid,11,25,4,28,17
K30_incid,11,25,6,24,18
K30_incid,11,25,8,23,17
K30_incid,11,25,10,22,17
K30_incid,11,25,12,21,16
K30_incid,11,25,14,20,14
K30_incid,11,25,16,19,14
K30_incid,11,25,18,19,14
K30_incid,11,25,20,19,14
K30_incid,11,30,2,26,17
K30_incid,11,30,4,25,17
K30_incid,11,30,6,23,16
K30_incid,11,30,8,23,16
K30_incid,11,30,10,22,15
K30_incid,11,30,12,22,15
K30_incid,11,30,14,22,15
K30_incid,11,30,16,22,15
K30_incid,11,30,18,22,15
K30_incid,11,30,20,22,15
K30_incid,11,35,2,20,16
K30_incid,11,35,4,21,16
K30_incid,11,35,6,20,16
K30_incid,11,35,8,20,16
K30_incid,11,35,10,20,16
K30_incid,11,35,12,20,16
K30_incid,11,35,14,20,16
K30_incid,11,35,16,20,16
K30_incid,11,35,18,20,16
K30_incid,11,35,20,20,16
K30_incid,11,40,2,1,1
K30_incid,11,40,4,1,1
K30_incid,11,40,6,1,1
K30_incid,11,40,8,1,1
K30_incid,11,40,10,1,1
K30_incid,11,40,12,1,1
K30_incid,11,40,14,1,1
K30_incid,11,40,16,1,1
K30_incid,11,40,18,1,1
K30_incid,11,40,20,1,1
K30_incid,12,5,2,20,8
K30_incid,12,5,4,17,8
K30_incid,12,5,6,19,7
K30_incid,12,5,8,17,8
K30_incid,12,5,10,18,7
K30_incid,12,5,12,16,7
K30_incid,12,5,14,16,7
K30_incid,12,5,16,16,8
K30_incid,12,5,18,16,7
K30_incid,12,5,20,16,7
K30_incid,12,10,2,23,9
K30_incid,12,10,4,22,8
K30_incid,12,10,6,20,7
K30_incid,12,10,8,19,7
K30_incid,12,10,10,16,7
K30_incid,12,10,12,20,7
K30_incid,12,10,14,20,8
K30_incid,12,10,16,16,7
K30_incid,12,10,18,16,7
K30_incid,12,10,20,16,7
K30_incid,12,15,2,20,8
K30_incid,12,15,4,20,8
K30_incid,12,15,6,17,8
K30_incid,12,15,8,18,8
K30_incid,12,15,10,18,7
K30_incid,12,15,12,17,8
K30_incid,12,15,14,16,7
K30_incid,12,15,16,16,7
K30_incid,12,15,18,16,7
K30_incid,12,15,20,18,7
K30_incid,12,20,2,21,9
K30_incid,12,20,4,18,8
K30_incid,12,20,6,16,8
K30_incid,12,20,8,16,8
K30_incid,12,20,10,14,7
K30_incid,12,20,12,14,7
K30_incid,12,20,14,17,7
K30_incid,12,20,16,16,8
K30_incid,12,20,18,15,8
K30_incid,12,20,20,13,7
K30_incid,12,25,2,14,8
K30_incid,12,25,4,12,8
K30_incid,12,25,6,12,8
K30_incid,12,25,8,11,7
K30_incid,12,25,10,13,7
K30_incid,12,25,12,12,8
K30_incid,12,25,14,12,8
K30_incid,12,25,16,11,7
K30_incid,12,25,18,11,7
K30_incid,12,25,20,11,7
K30_incid,12,30,2,14,9
K30_incid,12,30,4,15,8
K30_incid,12,30,6,12,8
K30_incid,12,30,8,12,8
K30_incid,12,30,10,10,7
K30_incid,12,30,12,10,7
K30_incid,12,30,14,10,7
K30_incid,12,30,16,10,7
K30_incid,12,30,18,10,7
K30_incid,12,30,20,10,7
K30_incid,12,35,2,12,7
K30_incid,12,35,4,12,7
K30_incid,12,35,6,11,6
K30_incid,12,35,8,11,6
K30_incid,12,35,10,11,6
K30_incid,12,35,12,11,6
K30_incid,12,35,14,11,6
K30_incid,12,35,16,11,6
K30_incid,12,35,18,11,6
K30_incid,12,35,20,11,6
K30_incid,12,40,2,0,0
K30_incid,12,40,4,0,0
K30_incid,12,40,6,0,0
K30_incid,12,40,8,0,0
K30_incid,12,40,10,0,0
K30_incid,12,40,12,0,0
K30_incid,12,40,14,0,0
K30_incid,12,40,16,0,0
K30_incid,12,40,18,0,0
K30_incid,12,40,20,0,0
K30_incid,13,5,2,23,15
K30_incid,13,5,4,22,14
K30_incid,13,5,6,20,13
K30_incid,13,5,8,20,13
K30_incid,13,5,10,20,13
K30_incid,13,5,12,19,13
K30_incid,13,5,14,19,12
K30_incid,13,5,16,19,12
K30_incid,13,5,18,19,13
K30_incid,13,5,20,19,13
K30_incid,13,10,2,23,13
K30_incid,13,10,4,22,12
K30_incid,13,10,6,21,12
K30_incid,13,10,8,19,12
K30_incid,13,10,10,17,12
K30_incid,13,10,12,21,12
K30_incid,13,10,14,18,12
K30_incid,13,10,16,17,12
K30_incid,13,10,18,17,12
K30_incid,13,10,20,17,12
K30_incid,13,15,2,22,15
K30_incid,13,15,4,20,13
K30_incid,13,15,6,20,13
K30_incid,13,15,8,19,13
K30_incid,13,15,10,19,13
K30_incid,13,15,12,19,13
K30_incid,13,15,14,18,13
K30_incid,13,15,16,17,12
K30_incid,13,15,18,18,12
K30_incid,13,15,20,18,12
K30_incid,13,20,2,21,13
K30_incid,13,20,4,17,13
K30_incid,13,20,6,18,13
K30_incid,13,20,8,17,13
K30_incid,13,20,10,15,12
K30_incid,13,20,12,17,13
K30_incid,13,20,14,17,12
K30_incid,13,20,16,16,12
K30_incid,13,20,18,15,11
K30_incid,13,20,20,14,11
K30_incid,13,25,2,19,15
K30_incid,13,25,4,18,14
K30_incid,13,25,6,16,13
K30_incid,13,25,8,16,13
K30_incid,13,25,10,16,13
K30_incid,13,25,12,15,12
K30_incid,13,25,14,16,13
K30_incid,13,25,16,15,13
K30_incid,13,25,18,15,13
K30_incid,13,25,20,15,13
K30_incid,13,30,2,18,13
K30_incid,13,30,4,17,12
K30_incid,13,30,6,15,12
K30_incid,13,30,8,15,12
K30_incid,13,30,10,14,12
K30_incid,13,30,12,14,12
K30_incid,13,30,14,15,13
K30_incid,13,30,16,14,12
K30_incid,13,30,18,14,12
K30_incid,13,30,20,14,12
K30_incid,13,35,2,18,15
K30_incid,13,35,4,16,13
K30_incid,13,35,6,15,13
K30_incid,13,35,8,15,13
K30_incid,13,35,10,15,13
K30_incid,13,35,12,14,12
K30_incid,13,35,14,14,12
K30_incid,13,35,16,14,12
K30_incid,13,35,18,14,12
K30_incid,13,35,20,14,12
K30_incid,13,40,2,4,3
K30_incid,13,40,4,4,3
K30_incid,13,40,6,3,2
K30_incid,13,40,8,3,2
K30_incid,13,40,10,3,2
K30_incid,13,40,12,3,2
K30_incid,13,40,14,3,2
K30_incid,13,40,16,3,2
K30_incid,13,40,18,3,2
K30_incid,13,40,20,3,2
K30_incid,14,5,2,30,26
K30_incid,14,5,4,27,22
K30_incid,14,5,6,23,18
K30_incid,14,5,8,24,19
K30_incid,14,5,10,26,20
K30_incid,14,5,12,21,17
K30_incid,14,5,14,21,17
K30_incid,14,5,16,21,18
K30_incid,14,5,18,18,15
K30_incid,14,5,20,19,16
K30_incid,14,10,2,31,24
K30_incid,14,10,4,25,20
K30_incid,14,10,6,26,21
K30_incid,14,10,8,24,19
K30_incid,14,10,10,23,19
K30_incid,14,10,12,21,17
K30_incid,14,10,14,22,18
K30_incid,14,10,16,20,16
K30_incid,14,10,18,22,18
K30_incid,14,10,20,21,17
K30_incid,14,15,2,30,26
K30_incid,14,15,4,27,23
K30_incid,14,15,6,27,23
K30_incid,14,15,8,25,21
K30_incid,14,15,10,26,20
K30_incid,14,15,12,25,21
K30_incid,14,15,14,21,17
K30_incid,14,15,16,21,17
K30_incid,14,15,18,21,17
K30_incid,14,15,20,21,17
K30_incid,14,20,2,30,24
K30_incid,14,20,4,26,22
K30_incid,14,20,6,24,20
K30_incid,14,20,8,25,21
K30_incid,14,20,10,22,19
K30_incid,14,20,12,20,17
K30_incid,14,20,14,20,17
K30_incid,14,20,16,22,19
K30_incid,14,20,18,21,18
K30_incid,14,20,20,21,18
K30_incid,14,25,2,28,26
K30_incid,14,25,4,25,22
K30_incid,14,25,6,24,22
K30_incid,14,25,8,24,20
K30_incid,14,25,10,24,20
K30_incid,14,25,12,25,21
K30_incid,14,25,14,23,21
K30_incid,14,25,16,18,16
K30_incid,14,25,18,18,16
K30_incid,14,25,20,18,16
K30_incid,14,30,2,22,21
K30_incid,14,30,4,20,19
K30_incid,14,30,6,21,20
K30_incid,14,30,8,20,19
K30_incid,14,30,10,20,19
K30_incid,14,30,12,18,17
K30_incid,14,30,14,18,17
K30_incid,14,30,16,18,17
K30_incid,14,30,18,18,17
K30_incid,14,30,20,18,17
K30_incid,14,35,2,22,21
K30_incid,14,35,4,22,21
K30_incid,14,35,6,18,17
K30_incid,14,35,8,18,17
K30_incid,14,35,10,18,17
K30_incid,14,35,12,18,17
K30_incid,14,35,14,18,17
K30_incid,14,35,16,18,17
K30_incid,14,35,18,18,17
K30_incid,14,35,20,18,17
K30_incid,14,40,2,6,6
K30_incid,14,40,4,6,6
K30_incid,14,40,6,6,6
K30_incid,14,40,8,6,6
K30_incid,14,40,10,6,6
K30_incid,14,40,12,6,6
K30_incid,14,40,14,6,6
K30_incid,14,40,16,6,6
K30_incid,14,40,18,6,6
K30_incid,14,40,20,6,6
K30_incid,15,5,2,34,20
K30_incid,15,5,4,27,18
K30_incid,15,5,6,22,15
K30_incid,15,5,8,24,17
K30_incid,15,5,10,25,19
K30_incid,15,5,12,20,14
K30_incid,15,5,14,20,15
K30_incid,15,5,16,21,16
K30_incid,15,5,18,19,13
K30_incid,15,5,20,19,14
K30_incid,15,10,2,28,20
K30_incid,15,10,4,27,20
K30_incid,15,10,6,23,18
K30_incid,15,10,8,23,19
K30_incid,15,10,10,20,14
K30_incid,15,10,12,20,15
K30_incid,15,10,14,20,15
K30_incid,15,10,16,19,14
K30_incid,15,10,18,19,14
K30_incid,15,10,20,19,14
K30_incid,15,15,2,32,20
K30_incid,15,15,4,29,20
K30_incid,15,15,6,27,20
K30_incid,15,15,8,25,17
K30_incid,15,15,10,25,19
K30_incid,15,15,12,25,17
K30_incid,15,15,14,23,17
K30_incid,15,15,16,21,17
K30_incid,15,15,18,22,18
K30_incid,15,15,20,22,18
K30_incid,15,20,2,24,17
K30_incid,15,20,4,22,17
K30_incid,15,20,6,23,18
K30_incid,15,20,8,21,17
K30_incid,15,20,10,20,14
K30_incid,15,20,12,20,15
K30_incid,15,20,14,20,15
K30_incid,15,20,16,20,15
K30_incid,15,20,18,20,15
K30_incid,15,20,20,19,13
K30_incid,15,25,2,29,18
K30_incid,15,25,4,24,17
K30_incid,15,25,6,25,17
K30_incid,15,25,8,23,16
K30_incid,15,25,10,22,16
K30_incid,15,25,12,23,17
K30_incid,15,25,14,22,15
K30_incid,15,25,16,19,14
K30_incid,15,25,18,20,14
K30_incid,15,25,20,18,14
K30_incid,15,30,2,20,16
K30_incid,15,30,4,19,16
K30_incid,15,30,6,18,15
K30_incid,15,30,8,18,15
K30_incid,15,30,10,18,14
K30_incid,15,30,12,17,14
K30_incid,15,30,14,17,14
K30_incid,15,30,16,17,14
K30_incid,15,30,18,17,14
K30_incid,15,30,20,17,14
K30_incid,15,35,2,21,15
K30_incid,15,35,4,21,15
K30_incid,15,35,6,16,14
K30_incid,15,35,8,17,14
K30_incid,15,35,10,15,14
K30_incid,15,35,12,15,14
K30_incid,15,35,14,15,14
K30_incid,15,35,16,15,14
K30_incid,15,35,18,15,14
K30_incid,15,35,20,15,14
K30_incid,15,40,2,3,1
K30_incid,15,40,4,3,1
K30_incid,15,40,6,3,1
K30_incid,15,40,8,3,1
K30_incid,15,40,10,3,1
K30_incid,15,40,12,3,1
K30_incid,15,40,14,3,1
K30_incid,15,40,16,3,1
K30_incid,15,40,18,3,1
K30_incid,15,40,20,3,1
K30_incid,16,5,2,43,22
K30_incid,16,5,4,34,14
K30_incid,16,5,6,30,18
K30_incid,16,5,8,28,14
K30_incid,16,5,10,26,14
K30_incid,16,5,12,24,13
K30_incid,16,5,14,27,17
K30_incid,16,5,16,27,13
K30_incid,16,5,18,23,13
K30_incid,16,5,20,22,13
K30_incid,16,10,2,31,21
K30_incid,16,10,4,28,14
K30_incid,16,10,6,24,14
K30_incid,16,10,8,26,14
K30_incid,16,10,10,22,16
K30_incid,16,10,12,22,13
K30_incid,16,10,14,22,13
K30_incid,16,10,16,20,13
K30_incid,16,10,18,20,13
K30_incid,16,10,20,21,13
K30_incid,16,15,2,35,22
K30_incid,16,15,4,32,22
K30_incid,16,15,6,25,13
K30_incid,16,15,8,26,18
K30_incid,16,15,10,22,14
K30_incid,16,15,12,23,13
K30_incid,16,15,14,20,13
K30_incid,16,15,16,20,13
K30_incid,16,15,18,20,13
K30_incid,16,15,20,20,13
K30_incid,16,20,2,29,21
K30_incid,16,20,4,25,21
K30_incid,16,20,6,25,17
K30_incid,16,20,8,22,17
K30_incid,16,20,10,20,16
K30_incid,16,20,12,20,16
K30_incid,16,20,14,20,16
K30_incid,16,20,16,20,16
K30_incid,16,20,18,20,15
K30_incid,16,20,20,17,12
K30_incid,16,25,2,27,14
K30_incid,16,25,4,24,14
K30_incid,16,25,6,23,14
K30_incid,16,25,8,21,14
K30_incid,16,25,10,21,14
K30_incid,16,25,12,23,14
K30_incid,16,25,14,20,13
K30_incid,16,25,16,18,13
K30_incid,16,25,18,17,13
K30_incid,16,25,20,17,13
K30_incid,16,30,2,19,13
K30_incid,16,30,4,19,13
K30_incid,16,30,6,18,13
K30_incid,16,30,8,19,13
K30_incid,16,30,10,18,13
K30_incid,16,30,12,18,13
K30_incid,16,30,14,18,13
K30_incid,16,30,16,18,13
K30_incid,16,30,18,18,13
K30_incid,16,30,20,18,13
K30_incid,16,35,2,19,13
K30_incid,16,35,4,18,13
K30_incid,16,35,6,17,13
K30_incid,16,35,8,17,13
K30_incid,16,35,10,17,13
K30_incid,16,35,12,17,13
K30_incid,16,35,14,17,13
K30_incid,16,35,16,17,13
K30_incid,16,35,18,17,13
K30_incid,16,35,20,17,13
K30_incid,16,40,2,3,1
K30_incid,16,40,4,3,1
K30_incid,16,40,6,3,1
K30_incid,16,40,8,3,1
K30_incid,16,40,10,3,1
K30_incid,16,40,12,3,1
K30_incid,16,40,14,3,1
K30_incid,16,40,16,3,1
K30_incid,16,40,18,3,1
K30_incid,16,40,20,3,1
K30_incid,17,5,2,31,13
K30_incid,17,5,4,29,13
K30_incid,17,5,6,26,13
K30_incid,17,5,8,28,13
K30_incid,17,5,10,24,13
K30_incid,17,5,12,23,12
K30_incid,17,5,14,24,13
K30_incid,17,5,16,24,13
K30_incid,17,5,18,21,11
K30_incid,17,5,20,22,12
K30_incid,17,10,2,26,13
K30_incid,17,10,4,25,13
K30_incid,17,10,6,25,13
K30_incid,17,10,8,24,13
K30_incid,17,10,10,23,12
K30_incid,17,10,12,24,13
K30_incid,17,10,14,23,13
K30_incid,17,10,16,22,12
K30_incid,17,10,18,23,12
K30_incid,17,10,20,23,12
K30_incid,17,15,2,23,13
K30_incid,17,15,4,23,13
K30_incid,17,15,6,23,13
K30_incid,17,15,8,21,12
K30_incid,17,15,10,22,13
K30_incid,17,15,12,22,12
K30_incid,17,15,14,21,12
K30_incid,17,15,16,21,12
K30_incid,17,15,18,22,13
K30_incid,17,15,20,22,13
K30_incid,17,20,2,21,13
K30_incid,17,20,4,21,13
K30_incid,17,20,6,20,13
K30_incid,17,20,8,21,13
K30_incid,17,20,10,19,12
K30_incid,17,20,12,19,12
K30_incid,17,20,14,20,13
K30_incid,17,20,16,20,13
K30_incid,17,20,18,19,13
K30_incid,17,20,20,17,11
K30_incid,17,25,2,20,13
K30_incid,17,25,4,20,13
K30_incid,17,25,6,20,13
K30_incid,17,25,8,19,13
K30_incid,17,25,10,19,13
K30_incid,17,25,12,19,13
K30_incid,17,25,14,17,12
K30_incid,17,25,16,17,12
K30_incid,17,25,18,17,12
K30_incid,17,25,20,17,12
K30_incid,17,30,2,20,13
K30_incid,17,30,4,20,13
K30_incid,17,30,6,20,13
K30_incid,17,30,8,19,13
K30_incid,17,30,10,18,12
K30_incid,17,30,12,18,12
K30_incid,17,30,14,18,12
K30_incid,17,30,16,18,12
K30_incid,17,30,18,18,12
K30_incid,17,30,20,18,12
K30_incid,17,35,2,19,13
K30_incid,17,35,4,19,13
K30_incid,17,35,6,19,13
K30_incid,17,35,8,19,13
K30_incid,17,35,10,19,13
K30_incid,17,35,12,19,13
K30_incid,17,35,14,19,13
K30_incid,17,35,16,19,13
K30_incid,17,35,18,19,13
K30_incid,17,35,20,19,13
K30_incid,17,40,2,1,0
K30_incid,17,40,4,1,0
K30_incid,17,40,6,1,0
K30_incid,17,40,8,1,0
K30_incid,17,40,10,1,0
K30_incid,17,40,12,1,0
K30_incid,17,40,14,1,0
K30_incid,17,40,16,1,0
K30_incid,17,40,18,1,0
K30_incid,17,40,20,1,0
K30_incid,18,5,2,32,24
K30_incid,18,5,4,29,21
K30_incid,18,5,6,29,22
K30_incid,18,5,8,28,21
K30_incid,18,5,10,28,22
K30_incid,18,5,12,23,18
K30_incid,18,5,14,24,18
K30_incid,18,5,16,28,21
K30_incid,18,5,18,24,18
K30_incid,18,5,20,24,18
K30_incid,18,10,2,33,23
K30_incid,18,10,4,31,23
K30_incid,18,10,6,26,20
K30_incid,18,10,8,28,20
K30_incid,18,10,10,25,18
K30_incid,18,10,12,26,20
K30_incid,18,10,14,27,20
K30_incid,18,10,16,23,17
K30_incid,18,10,18,22,17
K30_incid,18,10,20,23,18
K30_incid,18,15,2,30,24
K30_incid,18,15,4,28,24
K30_incid,18,15,6,27,21
K30_incid,18,15,8,26,22
K30_incid,18,15,10,26,22
K30_incid,18,15,12,24,20
K30_incid,18,15,14,21,18
K30_incid,18,15,16,23,20
K30_incid,18,15,18,22,19
K30_incid,18,15,20,25,22
K30_incid,18,20,2,27,23
K30_incid,18,20,4,26,20
K30_incid,18,20,6,26,20
K30_incid,18,20,8,24,20
K30_incid,18,20,10,22,18
K30_incid,18,20,12,22,18
K30_incid,18,20,14,23,19
K30_incid,18,20,16,24,20
K30_incid,18,20,18,24,20
K30_incid,18,20,20,20,17
K30_incid,18,25,2,25,24
K30_incid,18,25,4,22,21
K30_incid,18,25,6,23,22
K30_incid,18,25,8,20,19
K30_incid,18,25,10,23,22
K30_incid,18,25,12,22,21
K30_incid,18,25,14,21,19
K30_incid,18,25,16,19,17
K30_incid,18,25,18,19,17
K30_incid,18,25,20,19,17
K30_incid,18,30,2,22,22
K30_incid,18,30,4,22,22
K30_incid,18,30,6,21,21
K30_incid,18,30,8,21,21
K30_incid,18,30,10,19,18
K30_incid,18,30,12,19,18
K30_incid,18,30,14,19,18
K30_incid,18,30,16,19,18
K30_incid,18,30,18,19,18
K30_incid,18,30,20,19,18
K30_incid,18,35,2,23,22
K30_incid,18,35,4,23,22
K30_incid,18,35,6,22,21
K30_incid,18,35,8,22,21
K30_incid,18,35,10,22,21
K30_incid,18,35,12,22,21
K30_incid,18,35,14,22,21
K30_incid,18,35,16,22,21
K30_incid,18,35,18,22,21
K30_incid,18,35,20,22,21
K30_incid,18,40,2,1,1
K30_incid,18,40,4,1,1
K30_incid,18,40,6,1,1
K30_incid,18,40,8,1,1
K30_incid,18,40,10,1,1
K30_incid,18,40,12,1,1
K30_incid,18,40,14,1,1
K30_incid,18,40,16,1,1
K30_incid,18,40,18,1,1
K30_incid,18,40,20,1,1
K30_incid,19,5,2,23,13
K30_incid,19,5,4,21,12
K30_incid,19,5,6,20,12
K30_incid,19,5,8,20,11
K30_incid,19,5,10,19,11
K30_incid,19,5,12,20,12
K30_incid,19,5,14,20,11
K30_incid,19,5,16,20,11
K30_incid,19,5,18,19,11
K30_incid,19,5,20,18,10
K30_incid,19,10,2,25,11
K30_incid,19,10,4,20,11
K30_incid,19,10,6,18,11
K30_incid,19,10,8,20,11
K30_incid,19,10,10,19,11
K30_incid,19,10,12,18,11
K30_incid,19,10,14,18,11
K30_incid,19,10,16,18,11
K30_incid,19,10,18,18,11
K30_incid,19,10,20,18,11
K30_incid,19,15,2,20,13
K30_incid,19,15,4,18,12
K30_incid,19,15,6,18,12
K30_incid,19,15,8,16,11
K30_incid,19,15,10,16,11
K30_incid,19,15,12,16,11
K30_incid,19,15,14,16,11
K30_incid,19,15,16,16,11
K30_incid,19,15,18,16,11
K30_incid,19,15,20,16,11
K30_incid,19,20,2,16,11
K30_incid,19,20,4,15,11
K30_incid,19,20,6,16,11
K30_incid,19,20,8,15,11
K30_incid,19,20,10,15,11
K30_incid,19,20,12,15,11
K30_incid,19,20,14,15,11
K30_incid,19,20,16,15,11
K30_incid,19,20,18,15,11
K30_incid,19,20,20,14,10
K30_incid,19,25,2,16,13
K30_incid,19,25,4,15,12
K30_incid,19,25,6,14,11
K30_incid,19,25,8,15,12
K30_incid,19,25,10,14,11
K30_incid,19,25,12,14,11
K30_incid,19,25,14,13,10
K30_incid,19,25,16,14,11
K30_incid,19,25,18,13,10
K30_incid,19,25,20,13,10
K30_incid,19,30,2,13,11
K30_incid,19,30,4,13,11
K30_incid,19,30,6,13,11
K30_incid,19,30,8,13,11
K30_incid,19,30,10,13,11
K30_incid,19,30,12,13,11
K30_incid,19,30,14,13,11
K30_incid,19,30,16,13,11
K30_incid,19,30,18,13,11
K30_incid,19,30,20,13,11
K30_incid,19,35,2,13,12
K30_incid,19,35,4,12,11
K30_incid,19,35,6,13,12
K30_incid,19,35,8,12,11
K30_incid,19,35,10,12,11
K30_incid,19,35,12,12,11
K30_incid,19,35,14,12,11
K30_incid,19,35,16,12,11
K30_incid,19,35,18,12,11
K30_incid,19,35,20,12,11
K30_incid,19,40,2,1,1
K30_incid,19,40,4,1,1
K30_incid,19,40,6,1,1
K30_incid,19,40,8,1,1
K30_incid,19,40,10,1,1
K30_incid,19,40,12,1,1
K30_incid,19,40,14,1,1
K30_incid,19,40,16,1,1
K30_incid,19,40,18,1,1
K30_incid,19,40,20,1,1
K30_incid,20,5,2,18,11
K30_incid,20,5,4,18,11
K30_incid,20,5,6,17,11
K30_incid,20,5,8,17,11
K30_incid,20,5,10,17,11
K30_incid,20,5,12,17,11
K30_incid,20,5,14,18,11
K30_incid,20,5,16,17,11
K30_incid,20,5,18,17,11
K30_incid,20,5,20,17,11
K30_incid,20,10,2,16,11
K30_incid,20,10,4,16,11
K30_incid,20,10,6,16,11
K30_incid,20,10,8,16,11
K30_incid,20,10,10,16,11
K30_incid,20,10,12,16,11
K30_incid,20,10,14,16,11
K30_incid,20,10,16,16,11
K30_incid,20,10,18,16,11
K30_incid,20,10,20,16,11
K30_incid,20,15,2,16,11
K30_incid,20,15,4,15,11
K30_incid,20,15,6,16,11
K30_incid,20,15,8,15,11
K30_incid,20,15,10,15,11
K30_incid,20,15,12,15,11
K30_incid,20,15,14,15,11
K30_incid,20,15,16,15,11
K30_incid,20,15,18,16,11
