folder,image,initial_radius,delta_radius,auto_count
K0_incid,3,20,18,13
K0_incid,3,20,20,13
K0_incid,3,25,2,15
K0_incid,3,25,4,14
K0_incid,3,25,6,14
K0_incid,3,25,8,14
K0_incid,3,25,10,15
K0_incid,3,25,12,13
K0_incid,3,25,14,13
K0_incid,3,25,16,13
K0_incid,3,25,18,13
K0_incid,3,25,20,13
K0_incid,3,30,2,15
K0_incid,3,30,4,15
K0_incid,3,30,6,15
K0_incid,3,30,8,14
K0_incid,3,30,10,14
K0_incid,3,30,12,14
K0_incid,3,30,14,14
K0_incid,3,30,16,14
K0_incid,3,30,18,14
K0_incid,3,30,20,14
K0_incid,3,35,2,13
K0_incid,3,35,4,13
K0_incid,3,35,6,13
K0_incid,3,35,8,13
K0_incid,3,35,10,13
K0_incid,3,35,12,13
K0_incid,3,35,14,13
K0_incid,3,35,16,13
K0_incid,3,35,18,13
K0_incid,3,35,20,13
K0_incid,3,40,2,0
K0_incid,3,40,4,0
K0_incid,3,40,6,0
K0_incid,3,40,8,0
K0_incid,3,40,10,0
K0_incid,3,40,12,0
K0_incid,3,40,14,0
K0_incid,3,40,16,0
K0_incid,3,40,18,0
K0_incid,3,40,20,0
K0_incid,4,5,2,22
K0_incid,4,5,4,19
K0_incid,4,5,6,21
K0_incid,4,5,8,19
K0_incid,4,5,10,21
K0_incid,4,5,12,19
K0_incid,4,5,14,19
K0_incid,4,5,16,18
K0_incid,4,5,18,18
K0_incid,4,5,20,18
K0_incid,4,10,2,21
K0_incid,4,10,4,21
K0_incid,4,10,6,21
K0_incid,4,10,8,21
K0_incid,4,10,10,19
K0_incid,4,10,12,21
K0_incid,4,10,14,18
K0_incid,4,10,16,18
K0_incid,4,10,18,19
K0_incid,4,10,20,19
K0_incid,4,15,2,20
K0_incid,4,15,4,20
K0_incid,4,15,6,18
K0_incid,4,15,8,17
K0_incid,4,15,10,19
K0_incid,4,15,12,18
K0_incid,4,15,14,17
K0_incid,4,15,16,17
K0_incid,4,15,18,17
K0_incid,4,15,20,19
K0_incid,4,20,2,19
K0_incid,4,20,4,18
K0_incid,4,20,6,17
K0_incid,4,20,8,18
K0_incid,4,20,10,17
K0_incid,4,20,12,17
K0_incid,4,20,14,19
K0_incid,4,20,16,18
K0_incid,4,20,18,16
K0_incid,4,20,20,16
K0_incid,4,25,2,20
K0_incid,4,25,4,17
K0_incid,4,25,6,17
K0_incid,4,25,8,17
K0_incid,4,25,10,19
K0_incid,4,25,12,16
K0_incid,4,25,14,16
K0_incid,4,25,16,16
K0_incid,4,25,18,16
K0_incid,4,25,20,16
K0_incid,4,30,2,19
K0_incid,4,30,4,19
K0_incid,4,30,6,18
K0_incid,4,30,8,17
K0_incid,4,30,10,17
K0_incid,4,30,12,17
K0_incid,4,30,14,17
K0_incid,4,30,16,17
K0_incid,4,30,18,17
K0_incid,4,30,20,17
K0_incid,4,35,2,15
K0_incid,4,35,4,15
K0_incid,4,35,6,15
K0_incid,4,35,8,15
K0_incid,4,35,10,15
K0_incid,4,35,12,15
K0_incid,4,35,14,15
K0_incid,4,35,16,15
K0_incid,4,35,18,15
K0_incid,4,35,20,15
K0_incid,4,40,2,0
K0_incid,4,40,4,0
K0_incid,4,40,6,0
K0_incid,4,40,8,0
K0_incid,4,40,10,0
K0_incid,4,40,12,0
K0_incid,4,40,14,0
K0_incid,4,40,16,0
K0_incid,4,40,18,0
K0_incid,4,40,20,0
K0_incid,5,5,2,25
K0_incid,5,5,4,23
K0_incid,5,5,6,21
K0_incid,5,5,8,20
K0_incid,5,5,10,21
K0_incid,5,5,12,19
K0_incid,5,5,14,21
K0_incid,5,5,16,20
K0_incid,5,5,18,19
K0_incid,5,5,20,19
K0_incid,5,10,2,24
K0_incid,5,10,4,23
K0_incid,5,10,6,24
K0_incid,5,10,8,23
K0_incid,5,10,10,18
K0_incid,5,10,12,23
K0_incid,5,10,14,18
K0_incid,5,10,16,17
K0_incid,5,10,18,17
K0_incid,5,10,20,17
K0_incid,5,15,2,24
K0_incid,5,15,4,20
K0_incid,5,15,6,21
K0_incid,5,15,8,18
K0_incid,5,15,10,20
K0_incid,5,15,12,17
K0_incid,5,15,14,17
K0_incid,5,15,16,17
K0_incid,5,15,18,19
K0_incid,5,15,20,18
K0_incid,5,20,2,23
K0_incid,5,20,4,20
K0_incid,5,20,6,18
K0_incid,5,20,8,20
K0_incid,5,20,10,18
K0_incid,5,20,12,18
K0_incid,5,20,14,23
K0_incid,5,20,16,20
K0_incid,5,20,18,18
K0_incid,5,20,20,18
K0_incid,5,25,2,22
K0_incid,5,25,4,20
K0_incid,5,25,6,18
K0_incid,5,25,8,20
K0_incid,5,25,10,20
K0_incid,5,25,12,18
K0_incid,5,25,14,18
K0_incid,5,25,16,18
K0_incid,5,25,18,18
K0_incid,5,25,20,18
K0_incid,5,30,2,21
K0_incid,5,30,4,21
K0_incid,5,30,6,18
K0_incid,5,30,8,16
K0_incid,5,30,10,16
K0_incid,5,30,12,16
K0_incid,5,30,14,16
K0_incid,5,30,16,16
K0_incid,5,30,18,16
K0_incid,5,30,20,16
K0_incid,5,35,2,12
K0_incid,5,35,4,12
K0_incid,5,35,6,12
K0_incid,5,35,8,12
K0_incid,5,35,10,12
K0_incid,5,35,12,12
K0_incid,5,35,14,12
K0_incid,5,35,16,12
K0_incid,5,35,18,12
K0_incid,5,35,20,12
K0_incid,5,40,2,0
K0_incid,5,40,4,0
K0_incid,5,40,6,0
K0_incid,5,40,8,0
K0_incid,5,40,10,0
K0_incid,5,40,12,0
K0_incid,5,40,14,0
