,image,object,minor_axis,major_axis,mean_gray
0,1,11,55.65423879552814,58.15606757462082,0.41323434249700003
1,1,30,53.97823252970397,54.874117350113,0.200772118085
2,2,9,55.19416780997091,56.576271581395034,0.193641143044
3,2,19,46.78279145362522,48.97063668127184,0.342622372778
4,2,48,54.92332964040927,55.31464428430919,0.20677598869199998
5,2,55,53.52915774216445,54.116974872711324,0.210531332385
6,2,66,51.886976552008676,54.23525091218048,0.217970201934
7,3,10,59.41302277823489,61.25442485623247,0.201391098396
8,3,18,58.595591747778386,60.371062632515546,0.200834955905
9,3,48,57.95410035405388,60.60065689888133,0.196536297544
10,4,13,52.65808652952432,53.099430332198025,0.211115653952
11,4,21,52.66188966204393,52.926970206947566,0.21648986536999998
12,4,24,45.34482612224036,47.32968024296755,0.383495972252
13,4,61,46.19314223022074,48.183239685669925,0.309969976219
14,4,78,42.1072147231535,43.42872079471141,0.44479861243100005
15,5,38,54.28262663936983,56.67020745665596,0.192562806941
16,6,5,55.32599980274582,57.400927607513104,0.190149662248
17,6,9,47.09552202946742,48.735159989266606,0.331051726622
18,6,17,55.16369670389801,56.80831579117046,0.202694810654
19,6,27,53.59485196248007,54.23712978626182,0.19032986868000001
20,6,36,39.79160335274297,41.41529277981353,0.48210954624499996
21,6,44,52.20716658666251,53.05078938367645,0.200223933649
22,7,17,55.41914625993315,57.68627071522781,0.196596765605
23,8,15,50.745684978414275,52.188674952997616,0.22075294211899998
24,8,60,50.496566748061475,51.96236717021946,0.263135644884
25,8,69,46.64071768111403,47.67631981438362,0.391577195875
26,9,10,64.1887502174447,66.2069941653033,0.369826194363
27,9,19,48.59036597648396,50.05081114637208,0.476633097998
28,9,26,68.49295992803832,71.65692959553988,0.36840321125299996
29,10,19,77.41011637874661,78.3653915942157,0.255012141716
30,10,30,31.674290582538795,32.71418018414822,0.538379097495
31,11,6,84.55626111164244,87.0465731634613,0.165553133795
32,11,27,81.07560765622847,82.74650314633092,0.18912192742800002
33,11,35,64.21630182060169,64.55122439410424,0.42409357067599995
34,12,29,31.45134113688121,32.850377238857824,0.327145264925
35,13,6,71.73140397411116,75.11288818852964,0.387490549058
36,13,20,58.17473915090542,59.66799779413567,0.46408926359999997
37,13,33,65.24861279020189,66.95903135563593,0.19851917922499998
39,15,6,70.1601500689835,72.65793955321999,0.369035059793
40,15,16,70.72592187331622,73.95089686367821,0.352485964852
41,15,20,76.87063740628263,78.25372480055667,0.20313509833
42,15,22,72.81846807194441,75.47707428683883,0.35155898113899997
43,16,14,72.42004309781342,73.36287535153694,0.349917186266
44,16,18,77.46851641876744,79.20678419569538,0.192084443466
45,16,20,74.97037178921872,76.11303572785731,0.33787604242200003
46,17,6,76.4481671934535,77.65679774817814,0.269493891707
47,17,23,74.52985287616023,78.10859642129056,0.252603075399
48,18,7,58.920956250485105,60.801157640557854,0.49846340609300005
49,18,14,77.69044929464553,81.35723218067126,0.235518322132
50,19,40,25.16422957725812,26.044192310180836,0.530137223621
51,19,51,52.12830154783917,54.42144620666876,0.20751459961100002
