,folder,image,object,minor_axis,major_axis,mean_gray
0,K0_incid,1,3,71.6329243182,73.59851665332118,82.4995159729
1,K0_incid,1,5,70.70275190515598,73.23707194381346,81.3431106729
2,K0_incid,1,6,71.73096785689495,72.94531320401099,82.14066682890001
3,K0_incid,1,8,71.33744983196999,72.5308121892847,78.4868323899
4,K0_incid,1,9,71.13513023939431,72.96817971385427,80.9622178606
5,K0_incid,1,10,71.37602038845642,72.7891666998758,79.7799019608
6,K0_incid,1,11,71.9092135165568,73.01664007043497,79.7429056512
7,K0_incid,1,12,70.53565770229959,72.18309123161616,77.63606803399999
8,K0_incid,1,14,71.9963809203031,73.59762746904251,77.627493391
9,K0_incid,1,17,70.86368803826814,73.09842482352445,77.4397738446
10,K0_incid,2,7,72.01048916771629,72.83663016440742,76.81160475840001
11,K0_incid,2,9,70.04806684089661,71.55408985625962,75.30038119439999
12,K0_incid,2,10,71.38954726870999,73.16505827776867,77.4298951475
13,K0_incid,2,11,70.81716348028995,72.20032475286635,75.7344956413
14,K0_incid,2,12,72.32549268162799,73.0642261381433,77.9990361446
15,K0_incid,2,13,71.73488183070738,72.56806072552416,77.5070939335
16,K0_incid,2,15,72.83434200302956,73.39861336686883,77.4873749404
17,K0_incid,2,16,71.42689017928934,72.77655958476191,77.627633513
18,K0_incid,2,17,72.49774542559966,72.9305881107082,77.6522157996
19,K0_incid,2,18,72.01854707096085,74.14316985097823,77.612264376
20,K0_incid,2,19,70.87856171147965,73.12514727307828,78.4837837838
23,K0_incid,3,3,71.1115671400978,73.11699731318406,77.2282635317
24,K0_incid,3,4,71.27851012185413,73.72174084532989,77.15804806989999
25,K0_incid,3,5,70.24985552504997,73.55770729944116,75.3940364712
26,K0_incid,3,7,71.8330990198252,72.27317378199336,78.8950208487
27,K0_incid,3,12,71.90698691727906,73.28437275740269,80.5505074915
28,K0_incid,3,14,71.33863481085591,72.98666203414798,80.12573385520001
29,K0_incid,3,16,72.63252440017301,73.21534829518805,81.8965517241
30,K0_incid,4,1,73.03026285389319,73.75546076471541,76.81985815600001
31,K0_incid,4,3,71.79260874805962,72.33323177848743,78.065228053
32,K0_incid,4,4,71.91537512669845,72.7808359210331,77.695620438
33,K0_incid,4,6,70.94603182783723,72.32989699823028,76.829528536
34,K0_incid,4,7,71.92525981089268,72.3768965542649,76.803816047
35,K0_incid,4,8,71.50213068452345,71.64289861329239,76.0658876181
36,K0_incid,4,9,70.95941838591342,73.34291037458813,75.59392603479999
37,K0_incid,4,10,71.14481381456089,72.81242865341764,75.1826450344
38,K0_incid,4,13,70.92120222849076,73.233340683603,75.4361363079
39,K0_incid,4,14,70.65989733712425,72.68587796798256,75.56285643439999
40,K0_incid,4,15,72.62755609865414,72.96169475885715,75.24537370819999
41,K0_incid,4,17,71.5292172301717,74.36106107935888,73.363440345
43,K0_incid,5,2,70.6666348066686,71.75205362375344,77.5359116022
44,K0_incid,5,8,71.35080751298027,72.58510384769825,76.784607819
45,K0_incid,5,9,70.75316272157475,72.60688332955776,76.1179970253
46,K0_incid,5,10,70.6608406760643,72.16535164724364,76.16766616689999
47,K0_incid,5,12,72.31237370647554,72.85537126642762,75.8547256466
48,K0_incid,5,13,71.69337597016283,73.34120851569676,76.3126665052
49,K0_incid,5,14,72.11542131658935,72.27216592049012,76.1724896164
50,K0_incid,5,15,72.69820352736433,73.14875456053505,76.5985628743
51,K0_incid,5,16,70.9271345651723,72.09143790826208,75.68742216689999
52,K0_incid,6,2,72.17964724166008,72.90116119161901,71.2463697967
53,K0_incid,6,4,73.10881942977606,74.29633439798796,71.7202813599
54,K0_incid,6,6,72.2908826455547,72.63284572009547,70.9529468833
55,K0_incid,6,7,72.09633807957721,72.94423019431872,71.05982077979999
56,K0_incid,6,8,71.85720917095368,73.08493633396384,70.7048981571
57,K0_incid,6,10,72.35762176948589,73.24453091204292,71.8555635665
58,K0_incid,6,12,71.5484138350482,73.06137893568416,73.4280146163
60,K0_incid,6,16,72.856296207126,74.38900215478107,77.4257518797
61,K0_incid,6,17,71.0508040806598,72.8956949630432,71.382454411
62,K0_incid,6,18,70.07221541482187,72.51782674833849,70.5106542993
63,K0_incid,6,19,70.74431398908871,72.84367091803487,72.38334157189999
64,K0_incid,7,3,69.63833324241926,72.6262845801765,76.1394763343
65,K0_incid,7,4,71.57961472215246,72.61679522165669,75.0529152376
66,K0_incid,7,6,71.38463924647603,72.5038339804062,77.01747047239999
67,K0_incid,7,7,72.04117457891769,73.05444008940458,73.7433414044
68,K0_incid,7,8,71.813607641053,73.29496050730077,75.135010888
69,K0_incid,7,9,71.95270689459433,72.22340773771538,74.67164910560001
70,K0_incid,7,10,70.95814548370906,72.03741740222705,75.30533399800001
71,K0_incid,7,15,71.96471703622007,72.75092250256877,73.7159892918
72,K0_incid,7,19,71.72947887605442,72.52764045193129,73.4408812729
73,K0_incid,7,20,72.2954927961811,73.16062900291006,74.7900313027
74,K0_incid,7,23,71.98116358633148,73.39451174474776,75.85631629699999
75,K0_incid,8,2,71.70694358671476,73.53357806068945,77.3001690413
76,K0_incid,8,3,71.93992058954858,72.68566306006194,79.44980506819999
77,K0_incid,8,4,69.78615969953228,72.72495999052583,79.3162285137
78,K0_incid,8,6,71.89922833846272,73.14855062111356,76.45932203390001
79,K0_incid,8,8,72.42996846654253,72.90682674541006,78.481794068
80,K0_incid,8,9,71.07741792858107,72.96718084608324,76.7446599558
81,K0_incid,8,12,70.9900346973537,71.92707227533798,77.74937655859999
82,K0_incid,8,13,70.82162348854955,72.24653109923825,77.731209557
83,K0_incid,8,14,71.38057795738176,72.2542983173155,77.304691358
84,K0_incid,8,15,70.996060494066,72.46918327405258,77.6393564356
85,K0_incid,8,16,69.89599843788454,72.9723663209893,75.36304619229999
86,K0_incid,8,17,71.42976671011036,72.87797302325995,76.0259295499
87,K0_incid,8,19,73.02782637605817,73.72444864239992,75.7064806055
88,K0_incid,9,3,72.03607221992077,73.08012101046958,77.1504960077
89,K0_incid,9,4,72.46589688159878,72.63153098099606,77.06363416399999
90,K0_incid,9,5,71.97084885935716,72.44754553617976,77.2966764418
93,K0_incid,9,9,72.04932607226037,72.5913414313523,75.5753591429
94,K0_incid,9,11,71.60891339111805,72.26088327482722,73.22889490520001
95,K0_incid,9,12,71.6366510494543,72.52525201275567,75.8470588235
96,K0_incid,9,13,71.95021889435004,72.33745820999609,72.521654025
97,K0_incid,9,15,71.19708918060613,72.55448134792745,73.2850098619
98,K0_incid,9,18,72.00414561263726,72.24788774713767,73.5343941248
99,K0_incid,10,4,73.12914211222103,73.85340353617256,68.8809243103
100,K0_incid,10,5,71.58701212677903,73.8504268322509,67.3574181118
101,K0_incid,10,6,73.06565644660091,73.41271857573219,69.0626780627
102,K0_incid,10,7,72.73355578811515,72.9839254731614,69.42490403069999
103,K0_incid,10,8,72.96514583289121,73.9851351255377,70.2899268695
104,K0_incid,10,10,72.82428527689231,73.72104756413114,69.7632827324
105,K0_incid,10,11,72.39961485932952,73.32796730245177,68.028064284
106,K0_incid,10,12,71.85824879379794,72.09203383292775,69.8598820059
107,K0_incid,10,13,71.63299763663456,72.3528046395209,68.5788697789
108,K0_incid,10,14,72.26428908201844,72.53304534522199,70.5672983479
109,K0_incid,10,16,73.67161418428901,74.76837995781356,71.7766473988
110,K0_incid,10,17,72.86660214045091,73.84338778374814,70.5824852071
112,K0_incid,11,5,71.93547675252923,73.06320928880947,68.56166707050001
113,K0_incid,11,6,72.02864069572138,72.4282740180845,67.5796924579
114,K0_incid,11,7,72.58198554623284,73.04434187763474,68.4090799904
115,K0_incid,11,8,72.16543518502013,73.05490761091968,67.3147342995
116,K0_incid,11,9,70.97642848155883,72.87335777948311,67.6174513187
117,K0_incid,11,11,71.02644204048094,72.29436955838338,67.95411706350001
118,K0_incid,11,14,72.11924777259176,73.54858561423195,67.4954370797
119,K0_incid,11,15,71.23738255284094,72.85099997231565,66.8522699387
120,K0_incid,11,16,71.51484511097881,73.01681471383046,67.2112195122
121,K0_incid,11,18,70.86041665792483,73.3450912027868,66.4031862745
122,K0_incid,11,19,71.36682770133828,71.81612430139344,67.42306736270001
123,K0_incid,12,3,72.15294116282577,73.74166324954912,69.1416945907
124,K0_incid,12,4,71.47326928468334,73.69891492875891,69.127417795
125,K0_incid,12,5,72.00446774518589,73.34997513473758,68.6238244514
126,K0_incid,12,6,71.70944585531055,72.3822715610019,69.8910696762
127,K0_incid,12,7,70.34859567076299,73.29082912944901,70.1792007942
128,K0_incid,12,8,71.37194187975156,73.04847251258444,68.5390815828
129,K0_incid,12,9,71.27695802380815,72.35514297346585,68.9649382716
130,K0_incid,12,11,72.43499647257364,73.60491254537807,67.4457716197
131,K0_incid,12,12,71.93106590638969,72.81895828396719,69.366399222
132,K0_incid,12,15,72.55632704476612,72.96284902307191,70.0052922781
133,K0_incid,12,20,71.6147521130051,74.14342376046258,69.6655454109
134,K0_incid,12,21,72.26022585320868,73.1585794237488,70.0535068691
135,K0_incid,13,2,72.1954051910689,73.54152950002582,72.54918426100001
136,K0_incid,13,3,72.46539572579803,73.09552821884455,72.3783068783
137,K0_incid,13,4,73.17184941915374,73.80827400230335,70.7072422741
138,K0_incid,13,5,72.62576839092397,73.81001923924427,71.1212553495
139,K0_incid,13,6,72.33263101843848,73.20271977713527,70.7560153994
140,K0_incid,13,7,71.47565135144093,72.1993676689667,70.4095285115
141,K0_incid,13,10,72.03824175260196,73.64176103957894,69.1143680923
144,K0_incid,13,14,72.937484018081,73.3508909543504,70.2919047619
145,K0_incid,13,19,72.77341193487091,73.49883248139078,69.3634198619
146,K0_incid,13,20,73.12336172276942,73.46860816233261,69.9935973441
147,K0_incid,13,21,72.23821930364221,72.618352429354,69.6006801069
148,K0_incid,14,5,70.52741520068767,73.00140905524847,69.4971555775
