image,initial_radius,delta_radius,auto_withborder,auto_noborder
4,20,16,51,47
4,20,18,51,47
4,20,20,51,47
4,25,2,24,23
4,25,4,23,22
4,25,6,23,22
4,25,8,23,22
4,25,10,23,22
4,25,12,23,22
4,25,14,23,22
4,25,16,23,22
4,25,18,23,22
4,25,20,23,22
4,30,2,1,1
4,30,4,1,1
4,30,6,1,1
4,30,8,1,1
4,30,10,1,1
4,30,12,1,1
4,30,14,1,1
4,30,16,1,1
4,30,18,1,1
4,30,20,1,1
4,35,2,0,0
4,35,4,0,0
4,35,6,0,0
4,35,8,0,0
4,35,10,0,0
4,35,12,0,0
4,35,14,0,0
4,35,16,0,0
4,35,18,0,0
4,35,20,0,0
4,40,2,0,0
4,40,4,0,0
4,40,6,0,0
4,40,8,0,0
4,40,10,0,0
4,40,12,0,0
4,40,14,0,0
4,40,16,0,0
4,40,18,0,0
4,40,20,0,0
5,5,2,90,73
5,5,4,85,70
5,5,6,80,66
5,5,8,81,67
5,5,10,77,63
5,5,12,78,64
5,5,14,79,65
5,5,16,79,65
5,5,18,78,64
5,5,20,75,61
5,10,2,81,72
5,10,4,78,68
5,10,6,77,68
5,10,8,71,61
5,10,10,71,61
5,10,12,76,66
5,10,14,68,59
5,10,16,68,59
5,10,18,69,60
5,10,20,67,58
5,15,2,72,63
5,15,4,69,60
5,15,6,67,57
5,15,8,65,57
5,15,10,62,54
5,15,12,63,53
5,15,14,61,53
5,15,16,62,54
5,15,18,61,53
5,15,20,61,53
5,20,2,56,51
5,20,4,52,47
5,20,6,50,45
5,20,8,51,46
5,20,10,49,44
5,20,12,49,44
5,20,14,49,44
5,20,16,49,44
5,20,18,49,44
5,20,20,49,44
5,25,2,33,29
5,25,4,30,28
5,25,6,31,29
5,25,8,30,28
5,25,10,30,28
5,25,12,30,28
5,25,14,30,28
5,25,16,30,28
5,25,18,30,28
5,25,20,30,28
5,30,2,1,1
5,30,4,1,1
5,30,6,1,1
5,30,8,1,1
5,30,10,1,1
5,30,12,1,1
5,30,14,1,1
5,30,16,1,1
5,30,18,1,1
5,30,20,1,1
5,35,2,0,0
5,35,4,0,0
5,35,6,0,0
5,35,8,0,0
5,35,10,0,0
5,35,12,0,0
5,35,14,0,0
5,35,16,0,0
5,35,18,0,0
5,35,20,0,0
5,40,2,0,0
5,40,4,0,0
5,40,6,0,0
5,40,8,0,0
5,40,10,0,0
5,40,12,0,0
5,40,14,0,0
5,40,16,0,0
5,40,18,0,0
5,40,20,0,0
6,5,2,102,90
6,5,4,94,83
6,5,6,93,82
6,5,8,89,78
6,5,10,89,78
6,5,12,85,74
6,5,14,85,74
6,5,16,85,74
6,5,18,87,76
6,5,20,86,75
6,10,2,86,78
6,10,4,83,74
6,10,6,81,72
6,10,8,79,70
6,10,10,78,69
6,10,12,80,71
6,10,14,78,69
6,10,16,76,67
6,10,18,74,65
6,10,20,74,65
6,15,2,76,70
6,15,4,74,68
6,15,6,71,65
6,15,8,71,66
6,15,10,70,65
6,15,12,69,63
6,15,14,66,61
6,15,16,66,61
6,15,18,66,61
6,15,20,66,61
6,20,2,57,53
6,20,4,53,49
6,20,6,52,48
6,20,8,51,47
6,20,10,51,47
6,20,12,51,47
6,20,14,51,47
6,20,16,51,47
6,20,18,51,47
6,20,20,51,47
6,25,2,43,38
6,25,4,40,36
6,25,6,40,36
6,25,8,40,36
6,25,10,40,36
6,25,12,40,36
6,25,14,40,36
6,25,16,40,36
6,25,18,40,36
6,25,20,40,36
6,30,2,0,0
6,30,4,0,0
6,30,6,0,0
6,30,8,0,0
6,30,10,0,0
6,30,12,0,0
6,30,14,0,0
6,30,16,0,0
6,30,18,0,0
6,30,20,0,0
6,35,2,0,0
6,35,4,0,0
6,35,6,0,0
6,35,8,0,0
6,35,10,0,0
6,35,12,0,0
6,35,14,0,0
6,35,16,0,0
6,35,18,0,0
6,35,20,0,0
6,40,2,0,0
6,40,4,0,0
6,40,6,0,0
6,40,8,0,0
6,40,10,0,0
6,40,12,0,0
6,40,14,0,0
6,40,16,0,0
6,40,18,0,0
6,40,20,0,0
7,5,2,85,74
7,5,4,80,70
7,5,6,78,68
7,5,8,74,65
7,5,10,73,64
7,5,12,75,66
7,5,14,71,62
7,5,16,72,63
7,5,18,70,61
7,5,20,69,60
7,10,2,63,53
7,10,4,62,53
7,10,6,58,50
7,10,8,58,49
7,10,10,55,47
7,10,12,56,48
7,10,14,55,47
7,10,16,57,48
7,10,18,55,47
7,10,20,55,47
7,15,2,53,49
7,15,4,49,45
7,15,6,50,46
7,15,8,49,45
7,15,10,48,44
7,15,12,48,44
7,15,14,48,44
7,15,16,48,44
7,15,18,48,44
7,15,20,48,44
7,20,2,35,32
7,20,4,32,30
7,20,6,34,31
7,20,8,32,30
7,20,10,32,30
7,20,12,32,30
7,20,14,32,30
7,20,16,32,30
7,20,18,32,30
7,20,20,32,30
7,25,2,18,16
7,25,4,18,16
7,25,6,18,16
7,25,8,18,16
7,25,10,18,16
7,25,12,18,16
7,25,14,18,16
7,25,16,18,16
7,25,18,18,16
7,25,20,18,16
7,30,2,1,1
7,30,4,1,1
7,30,6,1,1
7,30,8,1,1
7,30,10,1,1
7,30,12,1,1
7,30,14,1,1
7,30,16,1,1
7,30,18,1,1
7,30,20,1,1
7,35,2,0,0
7,35,4,0,0
7,35,6,0,0
7,35,8,0,0
7,35,10,0,0
7,35,12,0,0
7,35,14,0,0
7,35,16,0,0
7,35,18,0,0
7,35,20,0,0
7,40,2,0,0
7,40,4,0,0
7,40,6,0,0
7,40,8,0,0
7,40,10,0,0
7,40,12,0,0
7,40,14,0,0
7,40,16,0,0
7,40,18,0,0
7,40,20,0,0
8,5,2,107,83
8,5,4,101,78
8,5,6,96,73
8,5,8,96,74
8,5,10,96,74
8,5,12,95,72
8,5,14,94,72
8,5,16,93,71
8,5,18,93,71
8,5,20,93,71
8,10,2,82,71
8,10,4,75,65
8,10,6,73,62
8,10,8,74,64
8,10,10,69,60
8,10,12,69,60
8,10,14,69,60
8,10,16,69,60
8,10,18,69,60
8,10,20,69,60
8,15,2,61,54
8,15,4,59,53
8,15,6,58,52
8,15,8,58,52
8,15,10,58,52
8,15,12,58,52
8,15,14,58,52
8,15,16,58,52
8,15,18,58,52
8,15,20,58,52
8,20,2,37,35
8,20,4,37,35
8,20,6,37,35
8,20,8,37,35
8,20,10,37,35
8,20,12,37,35
