image,initial_radius,delta_radius,auto_withborder,auto_noborder
18,15,18,37,37
18,15,20,32,32
18,20,2,39,39
18,20,4,35,35
18,20,6,36,36
18,20,8,31,31
18,20,10,31,31
18,20,12,35,35
18,20,14,30,30
18,20,16,30,30
18,20,18,31,31
18,20,20,31,31
18,25,2,30,30
18,25,4,30,30
18,25,6,26,26
18,25,8,29,29
18,25,10,25,25
18,25,12,26,26
18,25,14,26,26
18,25,16,26,26
18,25,18,26,26
18,25,20,26,26
18,30,2,24,24
18,30,4,20,20
18,30,6,20,20
18,30,8,21,21
18,30,10,21,21
18,30,12,21,21
18,30,14,21,21
18,30,16,21,21
18,30,18,21,21
18,30,20,21,21
18,35,2,14,14
18,35,4,14,14
18,35,6,14,14
18,35,8,14,14
18,35,10,14,14
18,35,12,14,14
18,35,14,14,14
18,35,16,14,14
18,35,18,14,14
18,35,20,14,14
18,40,2,5,5
18,40,4,5,5
18,40,6,5,5
18,40,8,5,5
18,40,10,5,5
18,40,12,5,5
18,40,14,5,5
18,40,16,5,5
18,40,18,5,5
18,40,20,5,5
19,5,2,110,80
19,5,4,102,78
19,5,6,95,72
19,5,8,92,71
19,5,10,93,72
19,5,12,89,70
19,5,14,87,68
19,5,16,86,67
19,5,18,84,66
19,5,20,84,66
19,10,2,98,70
19,10,4,89,65
19,10,6,82,60
19,10,8,85,61
19,10,10,78,57
19,10,12,78,57
19,10,14,78,57
19,10,16,79,58
19,10,18,77,56
19,10,20,77,56
19,15,2,74,53
19,15,4,69,52
19,15,6,69,52
19,15,8,68,52
19,15,10,68,52
19,15,12,67,51
19,15,14,67,51
19,15,16,67,51
19,15,18,67,51
19,15,20,67,51
19,20,2,56,43
19,20,4,49,39
19,20,6,50,40
19,20,8,48,38
19,20,10,48,38
19,20,12,48,38
19,20,14,48,38
19,20,16,48,38
19,20,18,48,38
19,20,20,48,38
19,25,2,24,23
19,25,4,24,23
19,25,6,24,23
19,25,8,24,23
19,25,10,24,23
19,25,12,24,23
19,25,14,24,23
19,25,16,24,23
19,25,18,24,23
19,25,20,24,23
19,30,2,3,2
19,30,4,3,2
19,30,6,3,2
19,30,8,3,2
19,30,10,3,2
19,30,12,3,2
19,30,14,3,2
19,30,16,3,2
19,30,18,3,2
19,30,20,3,2
19,35,2,0,0
19,35,4,0,0
19,35,6,0,0
19,35,8,0,0
19,35,10,0,0
19,35,12,0,0
19,35,14,0,0
19,35,16,0,0
19,35,18,0,0
19,35,20,0,0
19,40,2,0,0
19,40,4,0,0
19,40,6,0,0
19,40,8,0,0
19,40,10,0,0
19,40,12,0,0
19,40,14,0,0
19,40,16,0,0
19,40,18,0,0
19,40,20,0,0
