folder,image,auto_count
K0_incid,1,16
K0_incid,2,20
K0_incid,3,19
K0_incid,4,18
K0_incid,5,19
K0_incid,6,17
K0_incid,7,20
K0_incid,8,17
K0_incid,9,17
K0_incid,10,18
K0_incid,11,17
K0_incid,12,19
K0_incid,13,13
K0_incid,14,20
K0_incid,15,17
K0_incid,16,22
K0_incid,17,21
K0_incid,18,26
K0_incid,19,18
K0_incid,20,21
K20_incid,1,19
K20_incid,2,24
K20_incid,3,24
K20_incid,4,26
K20_incid,5,20
K20_incid,6,19
K20_incid,7,19
K20_incid,8,23
K20_incid,9,17
K20_incid,10,26
K20_incid,11,20
K20_incid,12,16
K20_incid,13,19
K20_incid,14,24
K20_incid,15,14
K20_incid,16,23
K20_incid,17,19
K20_incid,18,20
K20_incid,19,22
K20_incid,20,19
K30_incid,1,25
K30_incid,2,27
K30_incid,3,30
K30_incid,4,17
K30_incid,5,23
K30_incid,6,28
K30_incid,7,24
K30_incid,8,24
K30_incid,9,21
K30_incid,10,25
K30_incid,11,23
K30_incid,12,15
K30_incid,13,19
K30_incid,14,22
K30_incid,15,20
K30_incid,16,26
K30_incid,17,21
K30_incid,18,22
K30_incid,19,18
K30_incid,20,16
K40_incid,1,23
K40_incid,2,24
K40_incid,3,14
K40_incid,4,22
K40_incid,5,26
K40_incid,6,21
K40_incid,7,11
K40_incid,8,18
K40_incid,9,18
K40_incid,10,22
K40_incid,11,24
K40_incid,12,24
K40_incid,13,20
K40_incid,14,22
K40_incid,15,20
K40_incid,16,20
K40_incid,17,15
K40_incid,18,24
K40_incid,19,24
K40_incid,20,19
K50_incid,1,17
K50_incid,2,18
K50_incid,3,26
K50_incid,4,17
K50_incid,5,18
K50_incid,6,22
K50_incid,7,21
K50_incid,8,20
K50_incid,9,19
K50_incid,10,17
K50_incid,11,20
K50_incid,12,16
K50_incid,13,17
K50_incid,14,24
K50_incid,15,19
K50_incid,16,19
K50_incid,17,19
K50_incid,18,28
K50_incid,19,17
K50_incid,20,21
K60_incid,1,18
K60_incid,2,25
K60_incid,3,19
K60_incid,4,22
K60_incid,5,20
K60_incid,6,23
K60_incid,7,20
K60_incid,8,25
K60_incid,9,19
K60_incid,10,25
K60_incid,11,19
K60_incid,12,22
K60_incid,13,23
K60_incid,14,27
K60_incid,15,22
K60_incid,16,22
K60_incid,17,16
K60_incid,18,27
K60_incid,19,26
K60_incid,20,17
K70_incid,1,13
K70_incid,2,17
K70_incid,3,17
K70_incid,4,12
K70_incid,5,21
K70_incid,6,23
K70_incid,7,17
K70_incid,8,13
K70_incid,9,11
K70_incid,10,15
K70_incid,11,13
K70_incid,12,13
K70_incid,13,16
K70_incid,14,17
K70_incid,15,22
K70_incid,16,18
K70_incid,17,14
K70_incid,18,17
K70_incid,19,13
K70_incid,20,17
K80_incid,1,14
K80_incid,2,22
K80_incid,3,18
K80_incid,4,21
K80_incid,5,22
K80_incid,6,12
K80_incid,7,23
K80_incid,8,25
K80_incid,9,18
K80_incid,10,12
K80_incid,11,14
K80_incid,12,22
K80_incid,13,11
K80_incid,14,23
K80_incid,15,20
K80_incid,16,21
K80_incid,17,15
K80_incid,18,18
K80_incid,19,14
K80_incid,20,23
K90_incid,1,24
K90_incid,2,15
K90_incid,3,24
K90_incid,4,22
K90_incid,5,22
K90_incid,6,23
K90_incid,7,24
K90_incid,8,23
K90_incid,9,16
K90_incid,10,20
K90_incid,11,26
K90_incid,12,22
K90_incid,13,16
K90_incid,14,12
K90_incid,15,21
K90_incid,16,24
K90_incid,17,21
K90_incid,18,17
K90_incid,19,17
K90_incid,20,21
