Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
AmrNqVJuwgY,VACINA PARA GRIPE - Tomar ou não? | Medicina Ortomolecular,no,,1543341601,00:04:30,Dr J Bussade,UCOX1xjMcnZVmV-yx0VC6Fvg,People & Blogs,34474,1759,35,0.019898,0,120,0,Y,J; E; D; A,
nl0JhFXTgw0,Vacina tríplice bacteriana: previna-se de tétano  difteria e coqueluche,no,,1401721024,00:01:47,Minha Vida,UCMYTIyqS1-7wT-3pBB8bR5A,Science & Technology,34405,277,14,0.050542,0,7,0,N,,Qurios
am9XxFOMkt8,Dica de Saúde - Vacina Pentavalente,no,,1343932464,00:01:48,TV UFMS,UC4p7d_1KehpvAb7_9-WlkdA,News & Politics,33961,260,42,0.161538,0,15,0,N,,
Ft-GGlq4XR0,Grávidas devem tomar vacinas. Saiba quais são,no,,1431708624,00:02:13,Jornal da Alterosa,UCxbqmMsXory_zC-kNqKHUgw,News & Politics,31391,157,18,0.11465,0,9,0,N,,Leap4Freedom
5ymr8JwOcHw,Dr Lair Ribeiro | AFINAL: QUEM pode ou não pode tomar a VACINA contra a FeBRe AMARELA?,no,,1517706300,00:10:14,Junior Hallak Medicina e Saúde,UCPR3gVNYBzi-02_O4noC1Zg,People & Blogs,31223,2049,28,0.013665,0,100,0,Y,E; L,Patrick van Diemen; Digital Dream Lifestyle; Leap4Freedom; grosz
a3p5rGrotNc,Saiba mitos e verdades sobre a vacina contra H1N1 – CN Notícias,no,,1461937633,00:02:20,TV Canção Nova,UCVrKQMmA2ew9LFzeIDaOFgw,Entertainment,30642,301,70,0.232558,0,0,0,N,,
nq214q1RusY,Lair ribeiro Vitamina D3 A Vacina Contra O Cancer,no,,1420297019,00:05:19,Cizio Oliveira,UCB64lmy3pK38sjYIVjiZN8A,People & Blogs,30048,994,11,0.011066,0,33,0,Y,L,
iXFdmzAR7KA,Vacinas Podem Causar Autismo? Elas contém Mercúrio?| Lenda ou Fato,yes,29,1495720806,00:09:13,Canal do Schwarza,UCWq1xltHB2fDe6YkYoOrryg,Entertainment,29847,4762,201,0.042209,0,323,0,N,,
ibU743D6I0k,Dia “D” | Vacinação contra poliomielite e sarampo,no,,1415637171,00:01:57,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,29030,168,23,0.136905,0,0,0,N,,
MIloJPdLBy8,Vacinação - parte 01,no,,1517257340,00:14:43,DoutorMoises,UCW3l9WndLOjhRtsg0Aa--2g,Science & Technology,27553,1039,41,0.039461,0,,0,N,,
EwtBkDtCURQ,TUDO QUE VOCÊ SEMPRE QUIS (E PRECISOU) SABER SOBRE VACINAS | MACETES DE MÃE,no,,1560175200,00:36:31,Macetes de Mãe,UCTrx5uG9vJjTLloAH8hE-pg,People & Blogs,26743,2171,28,0.012897,0,211,0,N,,
qfdRzSIL7AQ,GESTANTES DEVEM SE VACINAR?,no,,1537239802,00:04:52,Beep Saúde,UCzzv3f3UIhYZlIeuOl2QH9Q,Science & Technology,26568,165,47,0.284848,0,6,0,N,,
fzilpZotG9w,O garoto ANTI VACINA que SE DEU MAL,no,,1561669637,00:05:47,Mundo Bizarro /Jr,UCPQqOZhDKr9AjLfXDOjoaww,Comedy,25992,3763,189,0.050226,0,639,0,N,,SDI Broker; Garnier
uKxMk0-YU6c,Descubra como é feita a vacina contra a gripe do Instituto Butantan,no,,1460759255,00:01:55,Canal da Saúde,UCpZO2Fi6cd_PXZNH0yeGjSw,News & Politics,25836,251,34,0.135458,0,33,0,N,,
fF53D9Pteo0,O Governo e a Mídia MENTEM. AS VACINAS CAUSAM DOENÇAS E DANOS AO SISTEMA IMUNOLÓGICO.,no,,1395003851,00:13:03,Capixaba Otário,UCNMwzMh0MW_J_nK9kMS4ldg,People & Blogs,25547,397,33,0.083123,0,114,0,Y,N; G; D; J; O; Q; A; K; E; F,
0UUWs5e8cB0,VACINOSE : Doença secundária à Vacina / Dr. Lair Ribeiro,no,,1517505267,00:04:41,Junior Hallak Medicina e Saúde,UCPR3gVNYBzi-02_O4noC1Zg,People & Blogs,25452,1235,29,0.023482,0,93,0,Y,L,SDI Broker; Mindvalley
S4QEEbQCjeE,CRISE DA VACINAÇÃO NO BRASIL: PREVENÇÃO DE DOENÇAS E SAÚDE PÚBLICA | Atualidades e Tema de Redação,no,,1534255794,00:08:04,Curso Enem Gratuito,UC_53VGoH_0XLFmYVpGMvhvg,Education,24361,794,36,0.04534,0,72,0,N,,Sundaram Mutual; Maybelline
1kp2M6pKqVk,Posso me vacinar gripado?,no,,1524164476,00:00:45,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,23902,227,12,0.052863,0,5,0,N,,
wW99VYHtois,Dra. Mônica Valverde Viana - Febre Amarela: Vacinar ou Não? Tire suas Dúvidas!,no,,1516741950,00:08:46,Dra Monica Valverde Viana,UCEA5mVrH3jPMmuah5qD0DUA,People & Blogs,23613,602,36,0.059801,0,257,0,N,,
fk5pWfmgXaw,Jovens e adolescentes precisam de vacinar contra HPV e Meningite,no,,1521153517,00:01:18,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,23544,145,6,0.041379,0,3,0,N,,
U8iUGMthWT4,Esclareça dúvidas sobre a vacina de sarampo,yes,26,1532631601,00:07:06,Ver Mais Londrina,UCGfBE94turq_hyKMxB-Dfrg,People & Blogs,23285,353,33,0.093484,0,,0,N,,Mindvalley
UKO0Lkh4A-c,Detectada Possível Causa do Autismo  e Surpresa: Não são as Vacinas | Lenda ou Fato (Hoje é Fato),yes,37,1533244122,00:05:07,Canal do Schwarza,UCWq1xltHB2fDe6YkYoOrryg,Entertainment,22623,4056,246,0.060651,0,301,0,N,,
sMv3IKEBysM,Vlog da minha semana : Vacina contra Sarampo  Corte de cabelo   etc - CAROL SANTINA,no,,1565989205,00:11:00,Carol Santina,UClmKoaOV0xdb_2HgKNmo5nA,Entertainment,22540,1843,20,0.010852,0,,0,N,,DryNites; Episod; Amazon
