sample,idx,otsu,yen,li,isodata,mlss
mica,1,0.011702984804288,0.013309601927176,0.01268226490356,0.010752768954262,2.4334899270907
mica,2,0.004141570068896,0.00781066599302,0.003850833047181,0.004000605084002,1.03085775999352
mica,3,0.013604490086436,0.016077367123216,0.013500966131687,0.014857017900795,0.450721112079918
mica,4,0.002517082029954,0.004311484983191,0.002505868906155,0.002661493141204,0.55474411486648
mica,5,0.011449618032202,0.024852593895048,0.010278211906552,0.011065899161622,1.31360258278437
mica,6,0.005104393931106,0.011122914031148,0.019164220197126,0.005508214933798,0.29210955905728
mica,7,0.006108006928116,0.00891821901314,0.005412637954578,0.005751457996666,0.627810196019709
mica,8,0.007607538951561,0.008419326972216,0.007457533152774,0.00745736178942,1.27212208602577
mica,9,0.009055685950443,0.006536697037518,0.004054630175233,0.009170633973554,0.53633098397404
mica,10,0.006679204991087,0.005163589958102,0.002886835020036,0.00957478582859,6.77180401096121
mica,11,0.013549179071561,0.017518662149087,0.00781090115197,0.013542813947424,0.420777149032801
mica,12,0.011618122924119,0.018688314827159,0.011286819120869,0.01078641298227,0.318389741005376
mica,13,0.012779421173036,0.017387144966051,0.022186656016857,0.012574381893501,0.024437057087198
mica,14,0.015650867950171,0.022248513996601,0.016041024122387,0.016321473056451,2.53120965510607
mica,15,0.013341110898182,0.018532837042585,0.018114384030923,0.013429193058983,0.863355139968917
mica,16,0.020661750109866,0.016133554978296,0.024399032816291,0.021159020951018,0.438121716026217
mica,17,0.008706811117008,0.010991886956617,0.012829432962462,0.007978691952303,3.04971246607602
mica,18,0.009361437056214,0.023195401998237,0.016508396016434,0.009991222061217,0.0805950879585
mica,19,0.006216270150617,0.007228320930153,0.009518922073767,0.006444417173043,0.312127779005095
mica,20,0.009351764107123,0.007536560995504,0.005342003889382,0.0092247731518,0.141008815029636
mica,21,0.00598827493377,0.022045529913157,0.005680438829586,0.005543349776417,0.123257806990296
mica,22,0.004745402140543,0.024149238830432,0.004286055918783,0.004746916005388,0.089977387804538
mica,23,0.006169856991619,0.012487096013501,0.006353805074468,0.006811127066612,0.231620540842414
mica,24,0.01364976586774,0.018325648037717,0.009385440964252,0.013756928034127,0.100724277086556
mica,25,0.005617456045002,0.00675107515417,0.006849948083982,0.005444003036246,0.114814419997856
mica,26,0.01264989702031,0.019237198168412,0.011219728039578,0.011949128005654,0.118952696910128
mica,27,0.025816629175097,0.008654794888571,0.011718867113814,0.028049662942067,0.070350327063352
mica,28,0.021492006024346,0.030791072873399,0.03004017402418,0.023185943020508,0.326684114057571
